Train Accuracy: 0.5400000214576721 | Val Accuracy: 0.6200000047683716 | Train Loss: 0.7071525454521179 | Val Loss: 0.6738091111183167
Train Accuracy: 0.5512499809265137 | Val Accuracy: 0.6200000047683716 | Train Loss: 0.7033320665359497 | Val Loss: 0.6737844944000244
Train Accuracy: 0.6287500262260437 | Val Accuracy: 0.6100000143051147 | Train Loss: 0.6704141497612 | Val Loss: 0.6719706654548645
Train Accuracy: 0.6287500262260437 | Val Accuracy: 0.6150000095367432 | Train Loss: 0.6617550849914551 | Val Loss: 0.6731333136558533
Train Accuracy: 0.6274999976158142 | Val Accuracy: 0.6100000143051147 | Train Loss: 0.6650504469871521 | Val Loss: 0.6697955131530762
Train Accuracy: 0.6287500262260437 | Val Accuracy: 0.6100000143051147 | Train Loss: 0.6583552360534668 | Val Loss: 0.673061192035675
Train Accuracy: 0.5649999976158142 | Val Accuracy: 0.6050000190734863 | Train Loss: 0.6899612545967102 | Val Loss: 0.6784692406654358
Train Accuracy: 0.6312500238418579 | Val Accuracy: 0.6100000143051147 | Train Loss: 0.6600626111030579 | Val Loss: 0.679965078830719
Train Accuracy: 0.6387500166893005 | Val Accuracy: 0.6100000143051147 | Train Loss: 0.6618983745574951 | Val Loss: 0.6782858967781067
Train Accuracy: 0.637499988079071 | Val Accuracy: 0.6100000143051147 | Train Loss: 0.656576931476593 | Val Loss: 0.6796613931655884
Train Accuracy: 0.6362500190734863 | Val Accuracy: 0.6050000190734863 | Train Loss: 0.6546390652656555 | Val Loss: 0.6768656969070435
Train Accuracy: 0.6424999833106995 | Val Accuracy: 0.6050000190734863 | Train Loss: 0.6497416496276855 | Val Loss: 0.6781052350997925
Train Accuracy: 0.6349999904632568 | Val Accuracy: 0.6100000143051147 | Train Loss: 0.6555418968200684 | Val Loss: 0.6771795749664307
